"sDm_D"	"sDm_E"	"sBn_D"	"sBn_E"	"sAn_D"	"sAn_E"
"ENSG00000123739"	610	532	628	533	564	514
"ENSG00000138756"	1371	1328	1228	1051	967	1085
"ENSG00000134962"	11	8	3	10	8	7
"ENSG00000206113"	91	127	40	50	24	48
"ENSG00000164344"	30	20	43	29	20	41
"ENSG00000109452"	1123	1036	1563	1201	903	1208
"ENSG00000174125"	7030	5759	4700	4172	7116	9245
"ENSG00000159788"	1286	1433	2075	1889	3846	2346
"ENSG00000168843"	0	0	0	0	4	0
"ENSG00000164099"	1	1	1	0	1	0
"ENSG00000248144"	0	0	0	0	0	0
"ENSG00000151014"	250	294	330	261	355	336
"ENSG00000005059"	3466	3109	3050	3146	3407	4358
"ENSG00000171234"	0	0	0	0	0	0
"ENSG00000004468"	683	679	394	372	669	611
"ENSG00000173597"	917	845	1142	885	548	769
"ENSG00000050730"	6955	5760	2437	2420	1699	5286
"ENSG00000170006"	2523	2482	3134	2736	1077	1176
"ENSG00000151623"	1163	1050	1172	886	903	1029
"ENSG00000151458"	806	671	948	692	1039	1062
"ENSG00000137473"	0	0	2	0	0	0
"ENSG00000174123"	537	498	275	288	222	335
"ENSG00000138767"	16725	14792	15796	13333	12984	19016
"ENSG00000125089"	4962	5239	5811	5303	4071	5019
"ENSG00000151790"	23	5	108	148	362	27
"ENSG00000183423"	22	13	21	22	16	2
"ENSG00000121895"	845	848	366	312	486	494
"ENSG00000120519"	543	604	392	339	526	621
"ENSG00000109181"	0	0	0	0	0	0
"ENSG00000152990"	126	124	86	65	108	88
"ENSG00000164168"	1801	1767	1698	1446	1692	2262
"ENSG00000138758"	1643	1630	1048	898	1247	1446
"ENSG00000196616"	0	1	2	0	0	0
"ENSG00000172955"	6	13	17	10	6	2
"ENSG00000163145"	2	7	3	2	3	7
"ENSG00000174796"	1015	922	939	857	774	950
"ENSG00000150471"	0	0	0	0	0	0
"ENSG00000164089"	0	0	0	0	0	0
"ENSG00000109458"	485	437	522	429	496	626
"ENSG00000029559"	0	0	0	0	0	0
"ENSG00000173320"	75	92	87	94	84	98
"ENSG00000178177"	886	742	909	766	889	995
"ENSG00000164070"	7	13	21	5	9	33
"ENSG00000145147"	0	4	1	1	1	1
"ENSG00000164106"	12	9	4	7	14	10
"ENSG00000151612"	1801	2041	1334	967	1076	1179
"ENSG00000131127"	1890	1682	2106	1679	1308	1764
"ENSG00000088926"	4	3	1	1	3	7
"ENSG00000109265"	195	301	219	176	112	144
"ENSG00000170088"	1265	1133	1148	1038	1718	1422
"ENSG00000168884"	5862	5788	4457	4295	4415	5442
"ENSG00000145242"	0	0	1	0	3	0
"ENSG00000188993"	26	16	17	25	13	22
"ENSG00000035720"	518	478	334	330	257	290
"ENSG00000137441"	4112	4929	1758	1578	5517	4428
"ENSG00000196782"	670	812	603	522	533	677
"ENSG00000109158"	0	0	0	0	4	0
"ENSG00000197057"	642	737	273	242	448	505
"ENSG00000109189"	1164	1017	839	706	826	1082
"ENSG00000163293"	11	14	17	7	3	9
"ENSG00000109193"	0	0	0	0	1	0
"ENSG00000171564"	0	0	0	0	0	0
"ENSG00000056050"	515	417	354	362	545	562
"ENSG00000145476"	1353	1373	1626	1538	1135	1329
"ENSG00000155275"	986	963	983	851	705	922
"ENSG00000124406"	11191	10329	6961	5520	5627	6173
"ENSG00000081041"	17317	15382	4932	5011	4781	11674
"ENSG00000171557"	0	0	0	0	0	0
"ENSG00000109819"	0	0	0	3	8	0
"ENSG00000187758"	3	1	2	4	0	4
"ENSG00000152785"	4	1	2	1	0	0
"ENSG00000173083"	11787	10721	6720	5960	10363	23997
"ENSG00000178343"	2	12	2	7	0	0
"ENSG00000184178"	409	383	347	267	291	421
"ENSG00000198498"	496	457	360	372	498	495
"ENSG00000121207"	3	0	1	0	0	1
"ENSG00000198589"	5746	5917	4559	3449	3363	4756
"ENSG00000145354"	1060	904	992	1043	1982	1941
"ENSG00000132463"	4158	3782	3997	3516	4329	4640
"ENSG00000163069"	600	574	308	275	316	365
"ENSG00000138771"	15	11	3	5	24	18
"ENSG00000078177"	2110	1788	1633	1233	1103	2262
"ENSG00000174607"	46	60	41	31	26	50
"ENSG00000179046"	0	0	0	0	0	4
"ENSG00000109775"	1058	1084	727	668	905	1072
"ENSG00000169989"	16	12	12	12	8	6
"ENSG00000248329"	0	3	0	0	0	0
"ENSG00000164162"	198	129	92	124	253	197
"ENSG00000132466"	8496	9223	8502	6574	6103	7294
"ENSG00000109519"	1932	1881	1582	1494	1725	2502
"ENSG00000169288"	494	438	384	416	615	595
"ENSG00000163743"	1869	1571	1314	1197	1558	1770
"ENSG00000138759"	0	0	0	0	2	0
"ENSG00000174799"	3470	2667	2652	2353	2320	2821
"ENSG00000164037"	59	66	67	41	32	57
"ENSG00000163257"	3615	3346	3453	2772	2834	3390
"ENSG00000170891"	6	11	17	35	3	5
"ENSG00000163319"	1155	843	825	831	1241	1237
"ENSG00000155016"	551	556	520	480	381	429
"ENSG00000083857"	1	2	11	9	0	6
"ENSG00000145423"	12	2	3	5	4	1
"ENSG00000128039"	68	61	70	50	81	66
"ENSG00000164134"	2108	1912	1675	1583	1714	2137
"ENSG00000164104"	7292	6560	5233	5910	6068	6245
"ENSG00000138760"	6089	5599	8219	8124	13275	10176
"ENSG00000109685"	4754	4758	4479	3800	3824	4405
"ENSG00000128052"	2	1	1	0	1	0
"ENSG00000164142"	85	78	134	78	88	113
"ENSG00000154447"	208	209	304	227	273	747
"ENSG00000164164"	4976	5148	4643	3504	3641	5201
"ENSG00000150961"	5139	5290	3192	2811	3603	5625
"ENSG00000254535"	0	0	0	0	0	0
"ENSG00000174780"	5304	5000	4333	3998	5578	6523
"ENSG00000138735"	188	207	221	184	114	176
"ENSG00000138750"	1959	1680	1320	1227	1934	2046
"ENSG00000138658"	340	365	355	280	298	324
"ENSG00000237765"	441	368	467	435	649	720
"ENSG00000157869"	1051	947	744	733	1105	1290
"ENSG00000038002"	1108	1019	870	812	1001	1256
"ENSG00000075539"	8384	8069	7121	5255	5523	8030
"ENSG00000164096"	3815	3331	2820	3169	4474	3942
"ENSG00000063978"	5681	5698	4543	3897	5095	5677
"ENSG00000170448"	812	694	700	587	586	567
"ENSG00000109133"	3338	3168	2944	2584	3718	4458
"ENSG00000038219"	13602	14159	15667	13046	10238	10691
"ENSG00000109270"	1825	1579	1627	1679	2328	2377
"ENSG00000109654"	138	80	107	69	74	74
"ENSG00000145247"	5103	5503	3868	3864	4128	4516
"ENSG00000163440"	0	0	0	0	0	0
"ENSG00000197894"	4327	3610	3176	3110	4472	4637
"ENSG00000172007"	1056	896	929	838	807	1161
"ENSG00000157404"	1010	1018	385	340	487	607
"ENSG00000168228"	830	696	646	649	572	728
"ENSG00000169020"	467	461	325	379	629	614
"ENSG00000164105"	226	217	256	256	408	450
"ENSG00000078140"	5310	4965	4138	3815	4938	6946
"ENSG00000178988"	6793	5869	5582	5319	5657	4950
"ENSG00000084092"	1735	2025	1705	1400	1579	1939
"ENSG00000164114"	710	579	404	389	380	412
"ENSG00000205208"	413	473	336	303	410	479
"ENSG00000196526"	444	543	304	183	203	219
"ENSG00000172493"	6064	6386	7001	5546	4929	5868
"ENSG00000109381"	2944	2916	2833	2539	2402	2790
"ENSG00000164163"	2267	1975	1850	1693	2149	2253
"ENSG00000083896"	10620	10577	10325	9182	8519	8708
"ENSG00000174227"	4381	4211	5616	4427	3481	3460
"ENSG00000109670"	2740	2690	2703	2319	2272	2803
"ENSG00000013288"	8472	9446	8059	6788	6037	6352
"ENSG00000137601"	1139	895	903	790	999	1187
"ENSG00000109805"	58	54	45	30	30	37
"ENSG00000109674"	12	11	15	16	14	7
"ENSG00000170522"	169	142	76	46	75	98
"ENSG00000179059"	0	0	0	0	1	0
"ENSG00000056291"	0	0	0	0	1	0
"ENSG00000145386"	101	103	94	87	52	79
"ENSG00000138738"	15	9	34	24	14	21
"ENSG00000121211"	0	0	0	0	0	0
"ENSG00000250317"	503	376	406	416	636	600
"ENSG00000153147"	7786	6886	6240	5693	6859	7312
"ENSG00000145321"	0	0	0	0	0	0
"ENSG00000109332"	19490	18084	15257	14726	23750	26886
"ENSG00000163956"	14222	13138	12768	13318	15151	14526
"ENSG00000159692"	7977	8210	8015	6736	6608	8070
"ENSG00000109756"	4455	4400	3451	2756	3012	4052
"ENSG00000205678"	0	0	1	0	1	0
"ENSG00000138668"	19478	21115	16821	15675	17731	21147
"ENSG00000163633"	4	1	0	0	0	4
"ENSG00000072201"	4	5	4	5	17	7
"ENSG00000151617"	4	1	0	0	3	0
"ENSG00000047365"	5612	5543	3321	2630	3300	4078
"ENSG00000163312"	1338	1227	1231	1145	1299	1397
"ENSG00000118785"	717	977	9047	8011	1752	8669
"ENSG00000137460"	220	206	463	423	121	91
"ENSG00000163683"	3897	3243	2601	2498	3708	4465
"ENSG00000164056"	387	370	299	328	243	536
"ENSG00000109572"	4619	4246	3446	3012	3414	4588
"ENSG00000123933"	12788	14811	6701	6017	8232	9071
"ENSG00000181826"	976	1090	880	758	1146	1296
"ENSG00000168826"	917	900	802	792	841	775
"ENSG00000145216"	1819	1959	1468	1252	1604	1565
"ENSG00000163626"	1003	880	849	769	1087	948
"ENSG00000109171"	5587	5413	4314	3720	4400	7094
"ENSG00000138663"	2255	2031	1292	1277	1966	2974
"ENSG00000109771"	109	84	103	78	97	104
"ENSG00000138772"	182	131	324	341	72	98
"ENSG00000138769"	24	16	32	14	9	7
"ENSG00000109758"	5	2	13	6	9	22
"ENSG00000196104"	0	2	2	0	0	2
"ENSG00000151552"	1063	1004	665	667	814	1002
"ENSG00000181381"	4673	4217	4897	3748	4990	9189
"ENSG00000138821"	2560	2281	3004	2839	5423	3133
"ENSG00000127418"	2463	3088	1943	1834	1206	2643
"ENSG00000164066"	25	23	22	9	61	31
"ENSG00000163631"	2	2	0	3	5	0
"ENSG00000064042"	164	176	110	84	20	37
"ENSG00000163106"	16	17	9	7	1	7
"ENSG00000205129"	14	13	5	9	13	25
"ENSG00000138768"	5859	4925	4404	3910	4630	6191
"ENSG00000132465"	4877	4156	1231	1363	3036	3255
"ENSG00000226887"	0	2	0	0	0	0
"ENSG00000138757"	11094	10680	9809	8329	9725	14048
"ENSG00000109743"	1626	1529	1571	1457	3039	3112
"ENSG00000168993"	52	72	65	41	25	29
"ENSG00000164023"	451	449	434	381	889	1051
"ENSG00000138796"	1319	1400	1314	1103	1259	1344
"ENSG00000138669"	111	105	39	42	15	19
"ENSG00000118564"	7188	6305	5690	4836	7069	9331
"ENSG00000059691"	683	692	638	572	708	736
"ENSG00000138698"	2248	1873	1757	1560	2364	2652
"ENSG00000151611"	553	610	470	444	501	653
"ENSG00000164122"	3	0	2	1	1	1
"ENSG00000145220"	2973	2928	1734	1978	2792	2490
"ENSG00000164073"	1176	942	1228	1065	1105	1182
"ENSG00000154556"	9	17	15	14	33	31
"ENSG00000152583"	4	5	4	1	5	20
"ENSG00000189157"	8	5	15	9	5	1
"ENSG00000121897"	669	595	645	601	635	600
"ENSG00000164167"	1434	1502	1244	1318	1989	2147
"ENSG00000169116"	91	84	142	103	218	98
"ENSG00000163945"	2946	3083	2817	2120	1939	2645
"ENSG00000169851"	3	0	1	0	0	0
"ENSG00000084093"	5908	5321	4812	4221	4114	4966
"ENSG00000164109"	358	295	348	301	355	438
"ENSG00000145349"	1498	1495	1416	1168	1365	1523
"ENSG00000163453"	153	121	71	122	139	229
"ENSG00000138785"	924	914	707	641	988	1150
"ENSG00000179010"	17279	15561	12653	12357	17226	18447
"ENSG00000157426"	1220	1081	1010	871	1174	1170
"ENSG00000109625"	0	0	0	0	0	0
"ENSG00000077684"	3733	3509	3339	3073	2947	3042
"ENSG00000018189"	1480	1459	1410	1158	1196	1126
"ENSG00000151466"	653	549	466	383	623	541
"ENSG00000185477"	5955	5477	8700	6158	6212	8850
"ENSG00000138795"	6199	7417	11522	10212	7057	7663
"ENSG00000109182"	0	0	0	0	0	0
"ENSG00000196503"	6	5	2	4	2	9
"ENSG00000087274"	19971	23004	16737	13964	16476	20838
"ENSG00000151729"	494	500	278	340	346	344
"ENSG00000145287"	7050	7372	5608	5598	4584	5923
"ENSG00000164032"	3941	2847	3629	3812	6155	6111
"ENSG00000145365"	1014	842	1075	929	852	1018
"ENSG00000164117"	893	818	642	501	737	1027
"ENSG00000126545"	0	0	0	0	3	0
"ENSG00000129187"	2161	2319	2023	1756	2353	2703
"ENSG00000109466"	3613	2882	2704	2895	2773	4643
"ENSG00000163322"	775	691	811	697	747	922
"ENSG00000155011"	5	12	2	0	12	7
"ENSG00000127419"	1117	1434	1194	1120	1307	1175
"ENSG00000138741"	145	159	10	7	145	192
"ENSG00000145388"	1756	1659	1400	1272	1709	1885
"ENSG00000164342"	240	235	54	56	113	136
"ENSG00000118816"	23747	26480	21235	19153	26879	33392
"ENSG00000168769"	5762	5378	5659	4103	4112	6469
"ENSG00000109339"	10	7	19	23	8	12
"ENSG00000153012"	8	18	4	6	25	11
"ENSG00000150627"	78	63	66	37	19	34
"ENSG00000138802"	3741	3579	3224	2743	2929	3778
"ENSG00000198856"	2806	2384	2063	2068	2763	3358
"ENSG00000138780"	349	333	268	216	250	414
"ENSG00000151247"	2532	2287	1905	1760	2228	3090
"ENSG00000197888"	6	1	7	3	0	0
"ENSG00000151725"	115	102	60	53	61	76
"ENSG00000071127"	35682	37343	28929	24943	31285	46292
"ENSG00000151726"	19641	17628	21595	17282	12298	41806
"ENSG00000163694"	9601	9404	7718	7270	9729	11891
"ENSG00000138641"	47	51	42	18	45	51
"ENSG00000163739"	99984	100168	19009	21100	11115	62079
"ENSG00000073331"	1475	1570	2888	2315	1628	1494
"ENSG00000048342"	157	157	203	126	177	280
"ENSG00000109680"	226	207	158	122	134	193
"ENSG00000171566"	2959	2521	2475	2249	2961	3368
"ENSG00000179299"	171	182	185	199	91	87
"ENSG00000171560"	0	0	0	0	0	0
"ENSG00000138674"	7480	8497	5919	4767	5756	8040
"ENSG00000181982"	505	533	261	238	783	670
"ENSG00000164022"	2850	2530	2749	2626	2902	2584
"ENSG00000138798"	1	0	4	2	1	0
"ENSG00000145246"	3076	2634	2351	1905	1633	2038
"ENSG00000168785"	557	587	483	449	593	669
"ENSG00000163644"	7576	6136	4567	4172	5001	4792
"ENSG00000174808"	4	1	1	0	0	0
"ENSG00000109610"	2	0	0	0	2	0
"ENSG00000002587"	6070	6538	4197	5356	6469	5607
"ENSG00000171509"	0	0	2	1	7	2
"ENSG00000256043"	2467	2387	1790	1605	2449	2701
"ENSG00000164303"	1	2	6	6	6	5
"ENSG00000152784"	958	1169	1284	1179	626	687
"ENSG00000169019"	1151	717	656	698	1289	1236
"ENSG00000163950"	3202	3194	2166	2073	2788	2990
"ENSG00000138709"	1109	1026	738	767	812	926
"ENSG00000109618"	1112	934	1034	876	854	994
"ENSG00000087008"	1241	1180	1052	799	890	1306
"ENSG00000169676"	1	0	0	0	0	0
"ENSG00000109606"	8870	7565	7583	6045	6970	9300
"ENSG00000138640"	354	350	386	340	443	340
"ENSG00000171503"	1355	1134	1353	1099	1632	1882
"ENSG00000171497"	1401	1290	1146	1127	1359	1571
"ENSG00000137628"	3659	3415	2104	1564	2624	2451
"ENSG00000170390"	34	37	25	22	18	21
"ENSG00000177752"	3	5	2	1	3	2
"ENSG00000132405"	4595	4407	3515	2954	3390	5538
"ENSG00000151806"	1178	1152	1072	882	1056	1289
"ENSG00000109321"	299	267	581	637	477	708
"ENSG00000163629"	371	396	234	144	210	279
"ENSG00000164031"	4267	3386	3824	3008	3483	4646
"ENSG00000047662"	82	89	99	96	67	61
"ENSG00000179387"	1619	1357	1250	1185	1848	2253
"ENSG00000013810"	10389	11300	11556	10522	9530	7901
"ENSG00000168936"	2886	2751	2131	2248	2746	2484
"ENSG00000183783"	0	0	0	0	0	0
"ENSG00000109323"	5860	5083	8711	8625	12413	10575
"ENSG00000145431"	493	375	322	280	664	341
"ENSG00000185619"	3040	3320	2597	2193	2305	2681
"ENSG00000134851"	4416	4172	4065	3913	5200	6895
"ENSG00000157765"	3	10	0	2	3	1
"ENSG00000145391"	2580	2637	2100	1762	1754	2314
"ENSG00000137440"	8	6	2	1	10	10
"ENSG00000135605"	297	285	374	310	378	281
"ENSG00000138722"	30	37	57	46	34	38
"ENSG00000164144"	2065	1879	1882	1768	1605	2272
"ENSG00000068078"	12	5	11	10	5	16
"ENSG00000169299"	1196	1085	978	810	1598	1690
"ENSG00000145428"	698	542	432	436	696	914
"ENSG00000002549"	3225	3412	5137	4089	6531	3859
"ENSG00000109205"	0	0	0	0	0	0
"ENSG00000138642"	2448	2723	1110	942	1771	1571
"ENSG00000109445"	2394	2019	2285	2065	2535	2563
"ENSG00000118762"	1367	1322	1316	1108	1010	1163
"ENSG00000109424"	1	4	5	0	0	0
"ENSG00000168310"	7414	7704	5519	4974	5258	6783
"ENSG00000151470"	433	344	295	269	650	659
"ENSG00000164035"	0	2	0	0	2	0
"ENSG00000109501"	577	727	551	459	352	634
"ENSG00000163291"	622	512	538	377	474	599
"ENSG00000052795"	7585	7243	5433	5402	4300	6829
"ENSG00000173040"	325	301	124	102	92	92
"ENSG00000138696"	2	2	4	1	5	0
"ENSG00000109472"	5	0	5	0	5	0
"ENSG00000163071"	3	10	4	0	4	0
"ENSG00000170365"	75	61	69	78	97	91
"ENSG00000164074"	1620	1440	1540	1369	1629	1875
"ENSG00000168924"	4180	4446	3691	3070	3311	3794
"ENSG00000145439"	1259	1049	1130	994	1264	1277
"ENSG00000138764"	2845	2299	2044	1991	2205	2759
"ENSG00000170185"	3200	2912	2477	2011	2396	3351
"ENSG00000109534"	709	669	581	653	667	842
"ENSG00000153130"	1501	1053	1066	1061	1361	1782
"ENSG00000109787"	4817	4720	4149	3670	3914	4742
"ENSG00000198301"	2503	2491	2251	1951	2396	2635
"ENSG00000172399"	3	3	6	4	2	8
"ENSG00000134853"	45	32	10	24	2	22
"ENSG00000152795"	19214	19218	16019	15658	18371	17819
"ENSG00000178950"	11469	13450	11154	9594	10043	12295
"ENSG00000163297"	7276	6401	7110	6282	7488	10317
"ENSG00000164039"	470	370	382	346	346	332
"ENSG00000138686"	733	602	480	400	501	751
"ENSG00000198515"	8	6	5	10	7	6
"ENSG00000157796"	1655	1683	1508	1255	1053	1218
"ENSG00000109390"	1378	1272	1115	1070	1476	1780
"ENSG00000164125"	1696	1360	2592	3024	4676	1280
"ENSG00000109814"	1510	1528	960	838	1099	1217
"ENSG00000173376"	12	5	2	4	0	0
"ENSG00000163624"	49	13	65	54	87	75
"ENSG00000071205"	1083	1241	1050	989	1702	1372
"ENSG00000109738"	2	1	0	3	0	0
"ENSG00000151834"	0	0	0	0	0	1
"ENSG00000109184"	1315	1178	1217	1157	1186	1468
"ENSG00000074966"	4414	4575	5517	4506	4792	4298
"ENSG00000156219"	1	0	0	0	0	0
"ENSG00000163281"	917	693	715	652	835	947
"ENSG00000159674"	1030	1201	745	695	1194	1530
"ENSG00000138777"	2068	1849	1436	1383	2534	3597
"ENSG00000171476"	550	572	279	224	490	607
"ENSG00000072840"	2706	3221	1112	961	823	1356
"ENSG00000198948"	153	163	96	82	38	127
"ENSG00000164169"	1296	1192	1117	1044	1213	1365
"ENSG00000145241"	2181	1961	1914	1750	1722	1888
"ENSG00000091490"	4549	4605	3299	2802	3075	3718
"ENSG00000138778"	141	134	137	120	127	98
"ENSG00000156136"	3498	3291	2452	2243	2809	3556
"ENSG00000164118"	933	705	859	804	807	745
"ENSG00000065882"	4065	4389	4635	4077	4217	4668
"ENSG00000163682"	59348	54856	60882	64418	76229	84628
"ENSG00000154277"	35	14	12	3	5	8
"ENSG00000145332"	1402	1245	1452	1364	1493	1822
"ENSG00000169435"	104	115	98	87	57	71
"ENSG00000132406"	1389	1236	1241	1120	1570	1831
"ENSG00000138670"	2307	2491	2569	1963	4273	4066
"ENSG00000145244"	31	32	42	41	28	28
"ENSG00000123737"	2095	1930	1551	1486	1715	1801
"ENSG00000118777"	231	206	20	15	50	60
"ENSG00000080493"	180	194	77	58	129	138
"ENSG00000168421"	8130	7967	6205	5935	5867	11826
"ENSG00000243449"	125	223	226	258	279	340
"ENSG00000168214"	8354	8140	5823	5064	6955	8606
"ENSG00000127415"	533	874	788	784	424	500
"ENSG00000137463"	5	6	2	7	6	4
"ENSG00000138646"	1351	1214	1022	967	1870	947
"ENSG00000145217"	485	467	478	333	291	383
"ENSG00000196620"	0	0	0	0	0	1
"ENSG00000151718"	1115	1020	588	486	833	1041
"ENSG00000183439"	194	168	102	80	78	79
"ENSG00000134852"	1727	1600	1613	1359	1593	2340
"ENSG00000014824"	2641	2427	2000	1860	2184	2742
"ENSG00000109790"	3122	2608	3001	2793	4199	4037
"ENSG00000128050"	927	879	1020	890	1002	1105
"ENSG00000038210"	1392	1225	1003	932	1125	1551
"ENSG00000168743"	1	0	0	0	3	2
"ENSG00000205403"	0	0	0	0	0	0
"ENSG00000052802"	940	911	599	555	797	1103
"ENSG00000163738"	329	247	229	172	324	328
"ENSG00000168818"	1859	1794	1468	1314	1568	1687
"ENSG00000153132"	86	44	41	57	13	23
"ENSG00000168824"	467	435	864	728	846	740
"ENSG00000145331"	296	247	286	318	296	385
"ENSG00000138678"	862	979	702	556	648	1017
"ENSG00000169762"	2301	2105	2086	1792	2240	2474
"ENSG00000087266"	9773	10972	9669	8513	11172	14603
"ENSG00000138814"	3731	3388	3264	3132	3970	5307
"ENSG00000163285"	0	0	0	0	0	0
"ENSG00000164116"	61	70	68	49	21	27
"ENSG00000145335"	546	557	546	532	1091	871
"ENSG00000109536"	2055	2024	1483	1566	2870	2383
"ENSG00000168538"	3222	2974	2974	2401	3082	3512
"ENSG00000145293"	1756	1489	1367	1342	1423	1559
"ENSG00000128059"	476	429	474	393	436	475
"ENSG00000215375"	486	625	488	427	538	556
"ENSG00000170502"	1748	1524	1485	1465	2009	1976
"ENSG00000169026"	427	450	728	688	966	933
"ENSG00000109180"	5183	4782	4548	4114	6441	6911
"ENSG00000174130"	1596	1504	1671	1422	2051	2338
"ENSG00000178163"	2687	2579	2343	1801	2148	2858
"ENSG00000145358"	10	15	6	1	10	10
"ENSG00000150625"	8	1	4	8	16	32
"ENSG00000109320"	13558	14171	9986	8362	9967	12573
"ENSG00000164306"	702	580	376	367	584	642
"ENSG00000087269"	2247	2324	2441	2092	2201	2445
"ENSG00000137462"	25984	21238	11816	10014	15107	40502
"ENSG00000090316"	10902	10927	8552	8002	8002	9593
"ENSG00000109686"	47	52	46	27	83	96
"ENSG00000185049"	2859	3543	2415	2206	2288	2494
"ENSG00000197712"	561	562	235	235	395	654
"ENSG00000138744"	1860	1740	1546	1499	3109	3001
"ENSG00000145362"	7	11	11	3	3	3
"ENSG00000138792"	1	5	0	1	6	10
"ENSG00000109736"	4171	5000	3502	3029	3748	5532
"ENSG00000109667"	149	156	192	179	153	121
"ENSG00000035928"	3353	3238	2895	2668	2710	2990
"ENSG00000164128"	0	0	0	0	2	4
"ENSG00000125388"	168	211	168	132	98	148
"ENSG00000145348"	1313	1238	1145	992	1168	1411
"ENSG00000164129"	0	0	0	0	3	0
"ENSG00000109255"	0	0	0	1	0	6
"ENSG00000033178"	4187	3408	2801	2469	3090	4507
"ENSG00000164136"	604	614	393	367	504	546
"ENSG00000109762"	1151	1041	1087	1030	960	1071
"ENSG00000164323"	2059	1999	1745	1502	1538	1895
"ENSG00000109475"	21938	15951	18235	20324	26085	26460
"ENSG00000129116"	770	835	623	451	490	498
"ENSG00000164161"	7	3	2	0	2	1
"ENSG00000163110"	3283	3131	2804	2429	3298	4184
"ENSG00000145425"	41581	37109	42754	44517	68249	77225
"ENSG00000156096"	0	0	0	0	0	0
"ENSG00000170801"	76	65	63	88	20	53
"ENSG00000174720"	1983	1727	1715	1781	2461	1968
"ENSG00000189308"	2027	1782	1607	1321	1478	2151
"ENSG00000109576"	0	0	0	0	3	0
"ENSG00000164024"	2312	2277	1960	1775	2112	2694
"ENSG00000163138"	521	510	460	339	436	458
"ENSG00000164111"	65533	59194	49970	47957	78193	114985
"ENSG00000198189"	4777	4029	3921	3892	6679	7383
"ENSG00000145214"	3018	2889	4282	3869	2427	2242
"ENSG00000090989"	2599	2276	2410	2031	2593	2994
"ENSG00000109436"	6637	5771	6543	5857	6582	8820
"ENSG00000138801"	7167	6559	5334	4775	5521	9233
"ENSG00000125386"	5100	6138	4604	3920	3644	4315
"ENSG00000186867"	2	0	0	0	0	0
"ENSG00000138660"	1413	1226	1447	1438	1529	1482
"ENSG00000121892"	10848	10710	8982	7316	8184	10639
"ENSG00000145390"	1294	1290	2086	1719	747	926
"ENSG00000154274"	84	77	75	74	95	95
"ENSG00000164038"	722	596	590	563	458	623
"ENSG00000163104"	2309	1937	1575	1304	1550	2066
"ENSG00000053900"	2586	2198	2140	1834	2246	2189
"ENSG00000007062"	17	12	15	24	5	17
"ENSG00000164124"	77	83	347	330	567	121
"ENSG00000085871"	86	90	103	95	156	110
"ENSG00000163697"	296	275	213	172	98	418
"ENSG00000145375"	482	518	553	432	370	580
"ENSG00000061918"	97	116	49	40	44	93
"ENSG00000121210"	4498	4965	4193	3374	3051	3609
"ENSG00000164305"	2686	2086	1914	1739	2161	2321
"ENSG00000250921"	0	0	0	0	0	0
"ENSG00000278913"	0	0	0	0	0	0
"ENSG00000164151"	5116	4842	4994	3904	3641	4361
"ENSG00000248962"	0	0	0	0	0	0
"ENSG00000248137"	0	0	0	0	0	0
"ENSG00000280251"	0	0	0	0	2	0
"ENSG00000279002"	0	0	0	0	0	0
"ENSG00000250490"	17	19	40	34	35	14
"ENSG00000251476"	2	1	6	5	7	2
"ENSG00000183654"	0	0	0	0	0	0
"ENSG00000248729"	3	7	8	3	1	5
"ENSG00000249994"	0	0	0	0	0	0
"ENSG00000250037"	0	0	2	0	0	0
"ENSG00000278877"	0	0	0	0	0	0
"ENSG00000250730"	0	0	0	1	0	0
"ENSG00000250001"	0	0	0	0	0	0
"ENSG00000145555"	340	355	522	517	563	1079
"ENSG00000250866"	0	0	0	0	0	0
"ENSG00000242654"	0	0	0	0	0	0
"ENSG00000280373"	0	0	0	0	0	0
"ENSG00000248699"	0	0	0	0	0	0
"ENSG00000251168"	2	8	3	2	0	2
"ENSG00000249486"	0	0	0	0	0	0
"ENSG00000250761"	0	0	0	0	0	0
"ENSG00000248766"	0	0	0	0	0	0
"ENSG00000279264"	0	0	0	0	0	0
"ENSG00000249688"	0	0	0	0	0	0
"ENSG00000275733"	0	0	0	0	0	0
"ENSG00000251568"	1	0	1	0	0	1
"ENSG00000250808"	1	2	1	0	0	2
"ENSG00000251112"	0	0	0	0	0	0
"ENSG00000279075"	0	0	0	1	1	2
"ENSG00000249191"	0	0	0	0	0	0
"ENSG00000249053"	2	0	0	0	0	0
"ENSG00000260981"	0	0	0	0	0	0
"ENSG00000287199"	0	0	0	0	2	0
"ENSG00000251549"	0	0	0	1	0	0
"ENSG00000183580"	0	0	0	0	0	0
"ENSG00000242608"	0	0	0	0	0	0
"ENSG00000286751"	0	0	0	0	0	0
"ENSG00000250587"	0	0	0	0	0	0
"ENSG00000248834"	0	0	0	0	0	0
"ENSG00000279125"	0	0	0	0	0	0
"ENSG00000286556"	0	0	0	0	0	0
"ENSG00000250332"	0	0	0	0	0	0
"ENSG00000224282"	0	0	0	0	0	0
"ENSG00000250389"	0	0	0	0	0	0
"ENSG00000249557"	0	0	0	0	0	0
"ENSG00000249490"	0	0	0	0	0	0
"ENSG00000279635"	0	0	0	0	0	0
"ENSG00000214132"	1	0	0	3	0	1
"ENSG00000253104"	0	0	0	0	0	0
"ENSG00000248537"	0	0	0	0	0	0
"ENSG00000248813"	0	0	0	0	0	0
"ENSG00000233787"	0	0	0	0	0	0
